udm,ru
Елена Тугашова,Елена Тугашова
Кытысь тон ?,Откуда ты
Кин тынад дышетӥсед ?,Кто научил тебя
Юля Гаврилова,Юлия Гаврилова
Мон Ижкарысь,Я в Ижевске
Мынам дышетӥсе Яна Белослудцева,Я учителя Белослудцевы раздельно
Влада Митрофанова,Влада Митрофанова
Мон Алнаш черкогуртысь,я Алнаши село
Рома Болтачев,Рома Болтачев
Мынам дышетӥсе Анна Плотникова,Я учителем Анны Плотниковы
Ксения Ахметханова,Ксения Ахметханова
Наташа Ушакова,Наташа Ушакова
Ксения Кузьмина,Ксения Кузьмина
Валерий Мадазимов,Валерий Мадазимов
Мынам дышетӥсе Руслан Серебренников,Я учитель Руслана Серебрянникова
- Тӥ кыӵе сортэн ужаськоды ?,Вы в каком сорте работаете
Туала история туж яркыт,Нынешняя история очень ярко
Мынам дуннее - тӥнь та гуртэ но яратоно уже,Я вон в мире в этой деревне и люблю работать
Мон капитанзы вал,Я капитан на лошади
Ту-уж кузь черод,Длина работ
"Стенка , диван , мотоцикл","На стенках диваны , мотоциклы"
Туж егит на,Очень молодые ещи
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Елена Скворцова,Елена Скворцова
"Галереялэн кивалтӥсез Елена Корепанова верамъя , таӵе инты эграослы туж яраз",", руководящая галерей , Елена Корепанова говорила о таком месте , Игре очень сегодня , руководящая галерей , Елена Корепанова говорила о таком месте , Игре очень"
Валентина Емельянова,Валентина Емельянова
Гурт предприятиен кивалтэ кандидат !,предприятие возглавляло кандидатом в деревню
Валентина Емельянова,Валентина Емельянова
Иван Аркашев,Иван Аркашев
Широбокова Софья Эльфатовна,Софья Широбокова
Варламов Владимир Сергеевич,Владимир Варламов Сергеевич
Казанцева Ольга Петровна,Ольга Казанцева
Касимов Энвиль Владимирович,Энвиль Касимов Владимирович
Невоструев Владимир Петрович,Владимир Невоструев
Сударикова Наталья Алексеевна,Наталья Сударикова
Широбокова Софья Эльфатовна,Софья Широбокова
Елена Скворцова,Елена Скворцова
Иван Аркашев,Иван Аркашев
Кызьы уд лыкты та празднике ? !,Как не пришел этот праздник
Елена Скворцова,Елена Скворцова
Невоструев но мукет кивалтӥсьёс,Невоструева и другие руководящие
Сыӵе шӧртчиослы штраф ляконо,Такие храбрцы приклеили к штрафу
Елена Скворцова,Елена Скворцова
Елена Скворцова,Елена Скворцова
Воспитательлы юрттэ РОНО-ысь методист,Режиссёр поможет Роно методисту
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Билетъёс та вагонъёсы купеосынэзлэсь кык поллы дуногес,Билет на этот вагон купе два раза по цене
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"Александр Бикузин , « Мынам Удмуртие » радио",Александр Бикузин на меня в Удмуртии на радио
Елена Скворцова,Елена Скворцова
Вторнике кыл сётомы Анжела Мазилы,"вторник , вторник , Анжела услышит"
Циолковский ульчаосысь,Циолковский на улице
Мар каре ?,что делать
Шекспирлэсь гожъямъёссэ,Записи Шекспира
Таиз жанр тужгес но секыт,И в этом жанре очень тяжесть
Елена Никитина,Елена Никитина
Нюлэскытӥ ориентированиез дышето,ориентирование на лес
Лариса Дмитриева,Лариса Дмитриева
Иван Аркашев,Иван Аркашев
Елена Никитина,Елена Никитина
Гурт пичи,Маленькая деревня
Геннадий Малых,Геннадий Малых
Ляльшур гурт,В деревне Ляльшура
Юргис Алексеев « Мынам Удмуртие » телеканал,"Юргис Алексеев , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Альбина Бушмакина,Альбина Бушмакина
Глазов кар,Глазов в городе
Арганчиослэн фестивалязы Валера огназ уг ветлы,На одном фестивале Валера не ходила
"Шонер шудӥськод , шуэм",Прямивых играет Прямивых сегодня играет
Лариса Гурьянова,Лариса Гурьянова
Жанна АРДУАНОВА,Жанна Ардуанова
Миляуша БУЛАТОВА,Миляуша Булатова
Уразгильдыысь площадкаын нырысетӥен пумиськизы Калмиярысь но Вуж Варяшысь командаос,"У Уразгильда встречалась на первой площадке , Калмияр и Тетиву Варяш"
Кытысь уксё ?,Откуда деньги
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"Елена Плотникова , « Мынам Удмуртие » радио","Елена Плотникова , я в Удмуртии на радио"
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"Дарали Лели , журналист , культуртрегер",Лели Парчаев парча журналиста
"Марина Сергеева , филолог",Марина Сергеева филолог
"Маша Векшина , журналист , модель","Маша Векшина , журналист"
"Настя Петрова , журналист , филолог",Настя Петрова журналиста филолога
Татарстанысь нылаш,Девушка в Татарстане
Павел Вахрушев,Павел Вахрушев
Павел Вахрушев,Павел Вахрушев
Павел Вахрушев,Павел Вахрушев
Кыӵе дышетӥсьёс ужалозы отрядъёсын ?,"Научили , какой отряд работает Научили сегодня , какой отряд работает"
Василий Широбоков,Василий Широбоков
Татьяна Тихонова,Татьяна Тихонова
Анастасия Петрова,Анастасия Петрова
Богдан Анфиногенов,Богдан Анфиногенов
« Литература » отряд,Отряд литературы
Евгений Бикузин,Евгений Бикузин
Владислав Андреев,Владислав Андреев
« Эстрада » отряд,От группы эстрады
Владислав Степанов,Владислав Степанов
« Видеоискусство » отряд,Отряд видеоискусств
Дмитрий Корепанов,Дмитрий Корепанов
« Театр » отряд,Отряд театров
Владимир Жуйков,Владимир Жуйков
Екатерина Коротаева,Екатерина Коротаева
« Фольклор » отряд,Отряд фольклора
« Дӥськут дизайн » отряд,Дизайн одежды отряда
Павел Вахрушев,Павел Вахрушев
Гуртсэ кыӵе-кыӵе ӝутӥз ни !,Какая деревня поднята
Елена Сараматова,Елена Сараматова
Сергей Захаров,Сергей Захаров
Зинаида Рябинина,Зинаида Рябинина
"Каракулов , И",Каракулова и Каракулов
Людмила Загребина,Людмила Загребина
Кинлы ке кошке уксё,Если кто ушел на деньги
Рашит ХАЙДАР,Хайдар Рашитов
« Мон ведь нырысетӥ ар уг ни ужаськы,Я ведь первые годы не работаю уже
Тужгес секыт аръёсы И,И очень тяжесть
Документъёссэ историяя факультетысь кык специализацияя сётӥз,Документ о истории факультета дал две специализации
Адӟизы : « ньыль » !,Четыре видел
Школаосмы но адӟем карымонэсь,"школа и видела , что сегодня делает вчера школа и видела , что делает"
Кылбурчиос пӧлысь кинэ тужгес яратӥськоды ?,"Поэты среди тех , кто очень любит"
Шерстянникова доры,Около Шерстянникова
- Йырси усемдэс маин валэктӥськоды ?,"волосы падали , что сегодня объяснил вчера волосы падали , что объяснил"
Мынам Удмуртие,Я вУдмуртии
Кӧня ке интыос быръемын ни,Если уже выбирал место
Сергей Захаров,Сергей Захаров
Ветлӥмы Гостиной дворе,ходила в Гостиный двор
Талы пумит Сергей Иванов шуэ :,"Напротив , об этом Сергей Иванов сказал"
Белова Мария Иж,"Мария Белова , Мария , Ижевск"
Разунова Анисья Алнаш,Анисья Разунова
Белова Кристина Иж,"Кристина Белова , Ижевск"
Самсонова Марина Алнаш,Марина Самсонова
Бадӟым литераторъёс,Большие литераторы
Ганьков Денис Алнаш,"Денис Ганьков , Денис Алнаши"
Пичи литераторъёс,Маленький литератор
Орлова Мария Алнаш,Мария Орлова
Люкин Степан Иж,Люкин Люкин в Ижевске
Серебряков Роман Камбарка,Роман Серебряников в Камбарке
Краснов Константин Алнаш,Константин Краснов
Ушакова Елизавета Алнаш,Елизавета Алнаши
Григорьева Ксения Иж,"Ксения Григорьева , Ижевск"
Максименкова Юлия Иж,Юлия Максименкова в Ижевске
Смирнова Мария Иж,"Мария Смирнова , Ижевск"
Губкина Валентина Алнаш,Валентина Алнаши Губкина
Хайдарова Лариса Иж,"Лариса Хайдарова , Ижевск"
Степанов Владислав Иж,"Владислав Степанов , Ижевск"
Морозов Сергей Иж,Сергей Морозов в Ижевске
Петрова Анастасия Иж,Анастасия Петрова в Ижевске
Рябина Елена Алнаш,Елена Рябина
Егорова Любовь Кизнер,Любовь Кизнер
Вахитова Дарья Иж,Дарья Вахитова в Ижевске
Спиридонов Павел Иж,Павел Спиридонов в Ижевске
Иванова Наталья Алнаш,Наталья Алнаши
Самарина Виктория Иж,Виктория Самарина в Ижевске
Антонова Алина Алнаш,"Алина Антонова , Алнаши"
Образцова Анна Дэбес,"Анна Образцова , Дебесы"
Куликова Оксана Алнаш,Оксана Куликова
Андреев Владислав Можга,Владислав Можга
Малкова Мария Кизнер,"Мария Малкова , Кизнер"
Матвеева Марина Татарстан Республика,"Марина Матвеева , Республика Татарстан"
Варклет-Бодья гурт,деревня Бодья
Оконников Иван Кизнер черкогурт,"Иван Оконников , село"
Телефон номерме куре,номер просил
Римысь мунчоос туж бадӟымесь но кӧня ке люкетлэсь,"В Риме баня очень большая и сколько частей , если"
"Сауна , сауна , малы сыӵеесь ?",Зачем сауна такая
Люба Зворыгиналэн атаез мунчоез туж яратэ вал,Люба Зворыгина отец в бане очень любит лошадей
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Дась — бадӟым сцена,Готовы к большой сцене
Мынам Удмуртие,Я вУдмуртии
Владимир Алашеев,Владимир Алашеев
Любовь Тихонова,Любовь Тихонова
Ирина Самигулова,Ирина Самигулова
"Татын верано , дыр , тани мар сярысь но","Здесь говорят об том , что и об времени Таня"
"Уг , дыр",Время не время
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Пичи засуха вал,Засуха на маленькой лошади
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Валентина Емельянова,Валентина Емельянова
Елена Сараматова,Елена Сараматова
Виктор Алексеевич Попов,Виктор Алексеевич Попов
Елена Сараматова,Елена Сараматова
Ольга Корепанова,Ольга Корепанова
Аронова Валентина ( Варвара ) Еремеевна,"Валентина Аронова , Варвара Еремеева"
Афонин Евгений Григорьевич,Евгений Афонин
Вахрушев Геннадий Павлович,Геннадий Вахрушев
Воронцов Михаил Сидорович,Михаил Сидорович
Иванов Василий Иванович,Василий Иванович Иванов
Князев Александр Иванович,Александр Иванович Князев
Корепанов Вячеслав Леонтьевич,Вячеслав Корепанов
Михайлов Василий Михайлович,Василий Михайлович Михайлов
Наговицын Александр Павлович,Александр Наговицын
Смирнов Василий Евсеевич,Василий Смирнов Евсеевич
Стрижов Алексей Артемьевич,Алексей Стрижов Сергеевич
Тебетеев Николай Николаевич,Николай Тебетеев Николаевич
Халиль Накипов,Халиль Накипов
Халиль Накипов,Халиль Накипов
Гульзида ГАЗИЗУЛЛИНА,Гульзида Газизуллина
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
"Крестьянско-фермерской хозяйство , или кыӵе ке но мукет пичи предприятие","И какое фермерское хозяйство , если и другие маленькие предприятия"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Мон вунэтӥ,я забыл
Алевтина Сизова,Алевтина Сизова
Глазов кар,Глазов в городе
Вунонтэм аръёс,За годы забылось
Альбина Бушмакина,Альбина Бушмакина
"Уг , уг вожъяськиськы мон адямиослы",я не завидую людей
Кыӵе мусо кылӥське !,Печечников слышит какую
Ми туж шумпотысалмы,Мы очень рады
( « Солдатъёс ке кошко » . ),солдат уйдет
Мон огнам,Я один
"Аръёс кошко , но тон огнад",год ушел и ты один
Гурт изе,Спал в деревне
Анныкей песянай вамышъя,Шагала бабушка Аннакей
Кытын тон ?,Где ты
Бесермян дӥсьсэ,Одетта Бесермянина
"Драма ( пьеса , фильмлы сценарий , опералы либретто )","В пьесе пьеса , сценарий фильма , опера либретто"
Любовь Тихонова,Любовь Тихонова
— Малы ?,Зачем что
Мар верасалды таӵеослы ?,Говорит такое что
Историен курозы на пичигес исторической сочинение гожтыны,Ещ просит написать маленькое историческое сочинение
Абитуриентлы ӧсъёс усьтӥськизы,Абитуриенты в дверях падают
Наталия Самсонова,Наталия Самсонова
Фольклор группаен кивалтӥз Павел Александров,руководитель группы по фольклору Павел Александров
Алина Крестьянинова,Алина Крестьянинова
Та дырлы эскизъёссы но дась,И в это время эскиз готов
Мынам Удмуртие,Я вУдмуртии
Данил Поздеев,Данил Поздеев
Галина Богданова,Галина Богданова
Ельцов ( бурысез ),Права Ельцова
Та дырозь Мирошниченко Глазовысь пединститутлэн ректорез вал,В это время Мирошниченко Пединститут ректора лошади
"- Та бордысь номыр уродзэ уг адӟиськы , - шуиз Евгений Исаакович","Это около ничего плохого не видело вчера , сказал Евгений Исаакович Это около ничего плохого сегодня не видело , сказал Евгений Исаакович"
Кидысэн вӧлмытон,Распространились семя
Лемтэйлэсь юрттоз :,Копытов поможешь
Прозоров практикаын,Прозорова практика
Геннадий Романов,Геннадий Романов
Иван Аркашев,Иван Аркашев
Анна Евсеева,Анна Евсеева
Елена Никитина,Елена Никитина
Бурысез - С,Право на благо
Валерий Баймурзин,Валерий Баймурзин
Елена Никитина,Елена Никитина
Бырйизы Сергей Неверовез,Сергей Неверов выбирал
Елена Миннигараева,Елена Миннигараева
"Но ушъяськыны номырин — баянэз , кылсярысь , музее сётоно ни","Но хвалят Баяна , например , музей , уже дал"
Ми ум вожъяськиське шведъёслы,Мы не завидуем шведов
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
"Семинаръёс , котырес ӝӧкъёс , лекторийёс , творчествоя лабораториос","На семинаре за круглый стол лектория , творчества"
Микта Орина,Никита Арин
Елена Рябина,Елена Рябина
Виталий Ганьков,Виталий Ганьков
Валерий Алексеев,Валерий Алексеев
Владимир Миронов,Владимир Миронов
Кошкысал ке — Лапландие гинэ,"Ушел , если только в Лапландию уйду"
Агентство одӥг висъетэ тэрем,агентство вместилось в одну перегородку
Сергей Максимов,Сергей Максимов
Милемлы юртто на Москваысь,мы поможем Ещу в Москве
Лена Рябина,Лену Рябину
Надежда Петрова,Надежда Петрова
Ульяна Чернова,Ульяна Чернова
Кима Аннок,Кима Аннок
Луша Шихова,Луша Шихова
Пичи кышномуртлэн бадӟым сюлмыз,"Маленькая женщина , большое сердце"
— Семьяямы мон бадӟымез вал,В семье я большой лошади
Мар эшшо тодам на ?,"Ещщ , память ещ"
Та тэшкылиосты мон ноку но уг вунэты,Я эти щелчки никогда и не забуду
Мар кароно ?,Что делать
"Шуом , семьяын ньыль адями",семья скажет четыре человека
Капашин но мукетъёсыз,Капашина и другие
Фотоез Руфима Ложкиналэн,Фото Ложкина
Туннэ веранмы Такагурт сярысь,сегодня Такагурт говорит
Туннэ мон выльысь мынысал,сегодня я снова иду
Залын тыл кысӥз,огонь в зале потух
Уйвайёс но тыловайёс мультфильмъёсысь геройёсты бырйиллям,Уйва и Тыловаев выбирали героев мультфильма
Лымыпог ни нимаськом,Снеговик уже назвал
Бананэн кияз маймыл,Кийом обезьяне банан
Алексей Мефодьевич Андреев,Алексей Мефодьевич
Альбина Бушмакина,Альбина Бушмакина
Татьяна Аркадьевна Максимова шуэ :,"Татьяна Аркадьевна сказала , что Максимова"
Ягошур приходлэн зӧкез вал Юнда бесерман гурт,Ягошур приходишь к толстому лошади Юнде Бесермянину в деревню
"Ангелина Урасинова , Елена Волкова","Ангелина Урасинова , Елена Волкова"
Та сяськаё гужемез,Это цветы летом
Иван Аркашев,Иван Аркашев
Елена Скворцова,Елена Скворцова
Валентина Емельянова,Валентина Емельянова
Иван Аркашев,Иван Аркашев
Георгий Грязев,Георгий Грязев
Хозяйствоен кивалтэ удмурт нылкышно Алевтина Лебедева,удмуртским хозяйством управляла дама Алевтина Лебедева
Таӵе агрегатъёслы гуртын туж шумпото,Такие агрегаты в деревне очень радятся
- Сыӵе ӝог ?,Такая быстрая
Елена Скворцова,Елена Скворцова
Анна Ващенко вера :,Анна Ващенко говорила
Маша Удмурт телевидениын ужа ни вал,Маша Удмуртского телевидения работает уже на лошади
Покчи классъёсты сётӥзы,Младан Младан
Люда отчы лыктэм,Люда пришла туда
Любовь Тихонова,Любовь Тихонова
Геннадий Романов,Геннадий Романов
Елена Скворцова,Елена Скворцова
Елена Скворцова,Елена Скворцова
Иван Аркашев,Иван Аркашев
Мукетыз но сюлэмез портэ,И другим сердцем порт
Лена Рябина,Лену Рябину
Быръем ужзэс валаса но яратыса быдэсъяло,"Выбирала на работу и поняла , что любит сегодня выполнять вчера Выбирала на работу и поняла , что любит выполнять"
Геннадий Романов,Геннадий Романов
Елена Скворцова,Елена Скворцова
Ольга Зорина,Ольга Зорина
Валентина Емельянова,Валентина Емельянова
Валентина Емельянова,Валентина Емельянова
Валентина Емельянова,Валентина Емельянова
Валентина Кутузова,Валентина Кутузова
Альберт Разин,Альберт Разин
Мон УдГУ-ын научной коммунизмъя кафедраен кивалтӥсько вал,Я в УдГУ на научной кафедре коммунизма руководящую лошадь
Сессия ӵуказеяз усьтӥське,завтра Сессия откроет
Шишкин профессор,Профессор Шишкин
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Туж кулэ та лаборатория . »,Очень надо в этой лаборатории
Надежда Николаева « Мынам Удмуртие » телеканал,"Надежда Николаева , я на телеканале вУдмуртии"
Александр Бикузин « Мынам Удмуртие » телеканал,"Александр Бикузин , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Кытчы мынэменым тунсыкъяськиз,шла куда интересовалась
Кытчы йырмес донгеммес ум валаське,", куда голову толкнули , сегодня , не поняв вчера , куда голову толкнули , , не поняв"
Казаньын мон пумиськи Михаил Васильевич Марков профессорен,"я встречался в Казани , Михаил Васильевич Марков профессор"
Ижын мыным сётӥзы квартира,я дал в Ижевске квартиру
"Мон та , мон , Мики !",Я за этого Мики
Мон тонэ гинэ яратӥсько,я тебя только люблю
- Мон финн,Финн я
- Эса-Юсси Салминен ?,Юсси Салминен
- Мон поездысь,Я на поезде
Эшшо куать проект гожтэмын вал,Ещ шесть проектов на Писание лошади
Хотя уг валало,Хотя не понял
"Елена Егорова , Илья Дерендяев , « Мынам Удмуртие » телеканал","Елена Егорова , Илья Дерендяев , я на телеканале вУдмуртии"
"Александр Бикузин , Григорий Фомин , « Мынам Удмуртие » телеканал","Александр Бикузин , Григорий Фомин , я на телеканале Удмуртии"
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Интыысь администрациосын ӵош ужаськомы,администрация вместе работает
Вылтуссыя но вуж адско,Тетива и облик видят
Кралиналэн одӥгез бадӟым ужез,Кралина одна большая работа
Елена Рябина,Елена Рябина
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Альбина Бушмакина,Альбина Бушмакина
"Тон , мусо гуртэ !",Печалицы в деревне
комитетлэн кивалтӥсез,комитетом руководится
Владимир Невоструев,Владимир Невоструев
Владимир Невоструев,Владимир Невоструев
Гожтом этнографияя диктант,диктант напишет этнографию
Элина Васильева,Элина Васильева
Елена Сараматова,Елена Сараматова
"Богдан Анфиногенов , егит кылбурчи :",Богдан Анфиногенов молодой поэт
Татьяна Ишматова :,Татьяна Ишматова
Валерий Хохряков :,Валерий Хохряков
Елена Сараматова,Елена Сараматова
Резолюциысь : Ижын усьтыны кулэ удмурт культурая центр,Резолюция в Ижевске надо упасть в удмуртский центр культуры
Елена Сараматова,Елена Сараматова
Элина Васильева,Элина Васильева
ассоциациенызы кивалтӥсь,Ассоциация руководит
Василий Ванюшев,Василий Ванюшев
Миляуша БУЛАТОВА,Миляуша Булатова
Татьяна МИННИЯХМЕТОВА,Татьяна Миннияхметова
философияя доктор,Доктор философии
Ирина САМИГУЛОВА,Ирина Самигулова
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Елена Тугашова,Елена Тугашова
Алевтина Сизова,Алевтина Сизова
Эшшо ке банкъёс процентъёссэс ӝутӥзы,Ещ если банк подняло процент
Валентина Емельянова,Валентина Емельянова
Валентина Емельянова,Валентина Емельянова
Инты но дыр,Место и время
Бушкова Александра ( Ува ),Александрия Бушкова
Злобина Наталья ( Юкаменск ),Наталья Юкаменская
Кудрявцева Жанна ( Ува ),Жанна Кудрявцева
Маркова Елена ( Эгра ),Елена Маркова на игре
Злобин Николай ( Юкаменск ),Николай Юкаменский
Кожевников Сергей ( Эгра ),Сергей Кожевников на игре
Митрошин Владимир ( Кияса ),Владимир Митрошин
Ефремов Вениамин ( Эгра ),Вениамин Ефремов на игре
"Семьяос ( дартс , комбинированной эстафета , эстафета )","В семье дартс , комбинированная эстафета , эстафета"
"Диана , Мария Эдуард Алексеевъёс ( Можга )",Диана Мария Эдуарда Алексеева Можга
"Владислав , Галина но Владимир Дунькинъёс ( Кез )",Владислава Галина и Владимир Дунькин рыскали
Долгова Наталья ( Грак ),Наталья Долгова
Анисимова Ирина ( Балезино ),"Ирина Анисимова , Ирина Балезина"
Кадров Степан ( Алнаш ),Степан Кадров
"Кизнер , Вавож , Глаз , Алнаш , Камбарка","Вавож Кизнер Глазов , Алнаши , Камбарка"
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Григорий Степановлэн « Мукет адӟон,Григорий Степанов видит других
Мар татын каре песянай ?,бабушка делает что
Кин вал Берта ?,Кто возвращается на лошади
Ольга МОСКВИНА,Ольга Москвина
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Геннадий Бекманов удмурт театрын одӥгез яркыт артист,Геннадий Бекманов в удмуртском театре ярко одного артиста
Светлана Кибардина « Мынам Удмуртие » телеканал,"Светлана Кибардина , я на телеканале вУдмуртии"
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
« Мынам Удмуртие » телеканал,Я на телеканале вУдмуртии
Тулыс праздникен !,Праздник весны
Шулдыртоз милемды,мы развеселим
Семьяын но ужын,Работа и семья
Владимир Михайлов,Владимир Михайлов
Та одӥг кузь уйлы,Эта длина ночи одна
"Кытын мон , кытын тон",Где я где ты
Монэным туннэ кул,я сегодня умер
Кулэ тонэ ӟыгыртыны,Тебе надо обнять
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
Мынам Удмуртие,Я вУдмуртии
« Бадӟым гастрольёс,Большой гастроль
« Бадӟым гастрольёс,Большой гастроль
Ум сётэ,не дали
Атай кулӥз,отец умер
Пичи дыры зарни вал,В то время золотая лошадь
Инъетмы - язычество,Язычество на основе
"Гренландиысь эскимос , Канадаысь индеец , Норвегиысь саам ...","В Греции эскимос , Канада , индейцы , Норвегии , саам"
Москваын дышетсконме азинтӥ,Азин научил Москву
Хантыослэн сомында диалектъёссы !,В диалекте ханты столько диалектов
Мар на манси сярысь веранэз,Об чём ещ манси говорит
Мукет нокин уг,Других никто не
Куризы фермаен кивалтыны,просили руководить фермой
Тон но студент !,И ты студент
"Абитуриентъёс , вӧзаз султыса , фотое пуксё",Абитуриенты встали около фото и сели на
Тужгес но студентъёс,И очень студенты
Алатырев - филология наукаосъя кандидат,Кандидат в филологию науку Алатырева
"Тараканов - филология наукаосъя доктор , профессор","Тараканова в науке , в науке , профессору"
Можгов - военной наукаосъя кандидат,Кандидат в военную науку Можгов
Тараканова - философия наукаосъя кандидат,Тараканова кандидат в философию науки
Геннадийлэн егит дырыз кемдӥз секыт война аръёсы,Геннадий Молодое время оказалось в тяжестью войны
Светлана дышетске Можгаысь медициная колледжын,Светлана Можга научила медицине в колледже
Кивалтӥз Алнашысь редакциен но хорен,Алнаши руководил редакцией и хором
Миляуша БУЛАТОВА,Миляуша Булатова
Лариса Гурьянова,Лариса Гурьянова
Глазов кар,Глазов в городе
Лариса Гурьянова,Лариса Гурьянова
Светлана Эсенкулова,Светлана Эсенкулова
Валентина Кутузова,Валентина Кутузова
Светлана Эсенкулова,Светлана Эсенкулова
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
"Куинь центръёс Ижкарын ужало , куать ёроскуспоосыз Воткаын , Сарапулын , Глазкарын , Можгаын , Эграын но Уваын","В трех центрах Ижевска работает шесть межрайонных Воткинсков , Сарапула Глазова"
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Елена Никитина,Елена Никитина
Елена Тугашова,Елена Тугашова
Пӧлазы Г,Среди среди
Азябина но мукетъёсыз,Азябина и другие
Сергей Захаров,Сергей Захаров
Елена Никитина,Елена Никитина
КЫТЫСЬ ШЕДЬТЫНЫ ?,Откуда нашел
Галина Савина,Галина Савина
Галина Савина,Галина Савина
Анастасия Шумилова,Анастасия Шумилова
Галина Савина,Галина Савина
Галина Савина,Галина Савина
Галина Савина,Галина Савина
Галина Савина,Галина Савина
« Мынам Удмуртие » радио,Я в Удмуртии на радио
Следовательёс учыръя уголовной уж ӝутӥзы,следователи оглядывался на уголовую работу
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
« Мынам Удмуртие » радио,Я в Удмуртии на радио
